radius_kpc,v_obs,v_err,v_bary,v_model_linear,v_model_quadrature,residual_linear,residual_quadrature
0.2400,37.3000,6.2000,0.0000,1.6740,2.3624,35.6260,34.9376
0.2800,37.9000,5.5000,0.0000,1.9530,2.7561,35.9470,35.1439
0.4600,47.1000,3.9000,19.1298,22.3382,19.6584,24.7618,27.4416
0.6400,53.5000,2.8000,26.8880,31.3519,27.6161,22.1481,25.8839
0.7300,55.1000,3.3000,28.8734,33.9650,29.7541,21.1350,25.3459
0.8200,58.5000,2.5000,30.2252,35.9446,31.2844,22.5554,27.2156
1.0800,66.2000,3.3000,34.2476,41.7805,35.8596,24.4195,30.3404
1.2200,69.4000,2.8000,35.8591,44.3684,37.8165,25.0316,31.5835
1.4500,74.6000,5.0000,37.9786,48.0922,40.5720,26.5078,34.0280
1.7100,77.9000,2.9000,39.6941,51.6211,43.1154,26.2789,34.7846
1.8700,81.7000,2.5000,40.0563,53.0993,44.0832,28.6007,37.6168
2.2000,86.8000,3.0000,41.5169,56.8616,46.8253,29.9384,39.9747
2.2800,90.1000,2.1000,42.0344,57.9371,47.6505,32.1629,42.4495
2.6900,94.4000,3.9000,43.9368,62.6992,51.2987,31.7008,43.1013
2.7000,95.4000,1.8000,43.9249,62.7570,51.3394,32.6430,44.0606
3.1200,99.2000,2.6000,44.8930,66.6546,54.3926,32.5454,44.8074
3.1800,98.7000,2.0000,44.9162,67.0963,54.7473,31.6037,43.9527
3.5300,101.3000,2.4000,45.6826,70.3039,57.3955,30.9961,43.9045
3.6600,101.5000,1.3000,46.0945,71.6225,58.5031,29.8775,42.9969
4.1500,106.3000,2.8000,47.3817,76.3274,62.5598,29.9726,43.7402
4.6400,109.4000,1.4000,48.2135,80.5769,66.4121,28.8231,42.9879
5.1300,108.8000,1.6000,48.6858,84.4668,70.1440,24.3332,38.6560
5.6200,107.3000,2.7000,49.1549,88.3536,74.0030,18.9464,33.2970
6.1100,108.2000,2.2000,49.9479,92.5643,78.1789,15.6357,30.0211
6.6000,109.8000,1.6000,50.9257,96.9598,82.5469,12.8402,27.2531
7.0900,110.1000,1.7000,52.1102,101.5620,87.0976,8.5380,23.0024
7.5700,111.1000,1.6000,53.2297,106.0294,91.5736,5.0706,19.5264
8.0600,113.0000,2.6000,53.3638,109.5812,95.6142,3.4188,17.3858
8.5500,113.9000,2.4000,52.4858,112.1209,99.1853,1.7791,14.7147
9.0400,115.1000,3.2000,51.3223,114.3751,102.7232,0.7249,12.3768
9.5300,116.3000,3.1000,49.7376,116.2080,106.1770,0.0920,10.1230
10.0200,119.1000,2.7000,47.8984,117.7865,109.6456,1.3135,9.4544
10.5100,121.0000,2.7000,46.2663,119.5721,113.3277,1.4279,7.6723
10.9900,121.5000,2.1000,44.9699,121.6236,117.1529,-0.1236,4.3471
11.4800,118.6000,2.0000,43.9220,123.9934,121.2371,-5.3934,-2.6371
11.9700,118.7000,1.9000,43.0638,126.5529,125.4477,-7.8529,-6.7477
12.4600,117.2000,1.9000,42.2119,129.1187,129.7086,-11.9187,-12.5086
12.9500,116.2000,2.0000,41.3653,131.6898,134.0147,-15.4898,-17.8147
13.4400,118.3000,2.4000,40.5267,134.2688,138.3625,-15.9688,-20.0625
13.9300,119.0000,2.4000,39.7117,136.8715,142.7523,-17.8715,-23.7523
14.4100,121.3000,2.9000,39.0596,139.5674,147.1220,-18.2674,-25.8220
14.9000,121.4000,3.7000,38.6513,142.5767,151.6730,-21.1767,-30.2730
15.3900,120.3000,3.4000,38.2185,145.5616,156.2354,-25.2616,-35.9354
15.8800,121.9000,4.2000,37.5686,148.3294,160.7633,-26.4294,-38.8633
16.3700,126.3000,7.2000,37.0125,151.1910,165.3314,-24.8910,-39.0314
16.8600,126.3000,4.5000,36.6629,154.2591,169.9599,-27.9591,-43.6599
17.3500,127.2000,5.5000,36.1733,157.1872,174.5706,-29.9872,-47.3706
17.8400,126.2000,4.7000,35.6105,160.0420,179.1792,-33.8420,-52.9792
18.3200,124.2000,12.2000,34.9940,162.7735,183.6937,-38.5735,-59.4937
18.8100,127.2000,13.3000,34.3702,165.5674,188.3160,-38.3674,-61.1160
19.3000,120.2000,14.2000,34.0468,168.6616,193.0029,-48.4616,-72.8029
19.7900,121.8000,13.2000,34.0219,172.0544,197.7480,-50.2544,-75.9480
20.2800,136.0000,19.1000,33.9533,175.4035,202.4895,-39.4035,-66.4895
20.7700,128.3000,14.3000,33.5374,178.4053,207.1783,-50.1053,-78.8783
21.2600,127.4000,15.4000,33.1598,181.4454,211.8799,-54.0454,-84.4799
21.7400,120.1000,13.1000,32.9471,184.5806,216.5153,-64.4806,-96.4153
22.2300,112.2000,14.9000,32.9309,187.9821,221.2812,-75.7821,-109.0812
22.7200,119.6000,13.4000,34.7802,193.2491,226.3286,-73.6491,-106.7286
