upsilon_disk,omega,omega_err,chi2_r
0.3,7.552066667541391,0.04182729270603674,110.4908498025914
0.35,7.399316162997683,0.04182729266867589,99.42590094562911
0.39999999999999997,7.2526743776487566,0.04182729262687605,89.60408335871577
0.44999999999999996,7.111389226160852,0.0418272925622992,80.81661711039645
0.49999999999999994,6.974863151281233,0.041827292531277364,72.90721459262653
0.5499999999999999,6.842609669894583,0.041827292475052846,65.75526060748682
0.5999999999999999,6.71422507670174,0.041827292534067785,59.265358288223545
0.6499999999999999,6.589369011963938,0.04182729256739897,53.3605169083056
0.7,6.467750787963783,0.04182729256131387,47.97753904208211
0.7499999999999999,6.349119349042526,0.04182729259635526,43.06379585031373
0.7999999999999998,6.23325588265974,0.0418272925000714,38.57491128375541
