GalaxyID,RMSE_additive,RMSE_quadrature,converged
CamB,3.1988,2.9056,True
D512-2,1.1652,1.5247,True
D564-8,0.5783,0.5645,True
D631-7,3.4898,2.6640,True
DDO064,2.6067,2.9530,True
DDO154,1.5129,1.8658,True
DDO161,1.6385,1.5853,True
DDO168,3.6415,3.6206,True
DDO170,1.9805,2.0688,True
ESO079-G014,7.8615,7.1195,True
ESO116-G012,3.0230,3.2185,True
ESO444-G084,1.4416,1.2240,True
ESO563-G021,20.5465,20.3932,True
F561-1,4.1040,3.8846,True
F563-1,8.2358,7.8432,True
F563-V1,2.0576,2.0718,True
F563-V2,8.6665,8.5654,True
F565-V2,2.9055,2.5698,True
F567-2,5.3383,4.3172,True
F568-1,7.8278,5.5179,True
F568-3,7.6980,7.4631,True
F568-V1,7.3324,6.2974,True
F571-8,18.1675,14.1531,True
F571-V1,2.4038,2.7855,True
F574-1,4.3733,3.4702,True
F574-2,1.7302,1.5491,True
F579-V1,4.2179,3.1870,True
F583-1,6.0356,4.5725,True
F583-4,2.1591,1.9908,True
IC2574,2.1953,2.0237,True
IC4202,25.2147,24.2402,True
KK98-251,0.8697,1.1099,True
NGC0024,3.8074,5.1173,True
NGC0055,2.4209,2.7229,True
NGC0100,1.4538,1.6744,True
NGC0247,4.1410,4.4190,True
NGC0289,10.0584,10.0192,True
NGC0300,3.5302,3.2289,True
NGC0801,14.8735,13.2174,True
NGC0891,26.5218,22.7156,True
NGC1003,3.8832,3.5455,True
NGC1090,7.8180,7.6424,True
NGC1705,2.9001,4.4042,True
NGC2366,3.1909,3.4434,True
NGC2403,5.4257,5.0139,True
NGC2683,7.5117,9.2510,True
NGC2903,24.3705,23.3945,True
NGC2915,10.1581,8.6261,True
NGC2955,14.5186,13.6826,True
NGC2976,1.9681,1.8613,True
NGC2998,27.2546,12.6139,True
NGC3109,1.0756,1.3248,True
NGC3198,6.4424,6.9393,True
NGC3521,6.0255,6.7721,True
NGC3726,7.2929,7.6657,True
NGC3741,1.1155,1.7031,True
NGC3769,7.2230,6.5589,True
NGC3877,18.0321,16.6175,True
NGC3893,6.5909,6.8971,True
NGC3917,5.1777,5.4892,True
NGC3949,8.6397,3.6850,True
NGC3953,3.3741,3.0601,True
NGC3972,4.7841,3.5707,True
NGC3992,5.8801,4.4049,True
NGC4010,6.7484,6.5658,True
NGC4013,5.5963,6.3468,True
NGC4051,7.6731,6.2563,True
NGC4068,2.0589,1.4156,True
NGC4085,13.9660,12.0770,True
NGC4088,13.1785,7.6274,True
NGC4100,6.0530,7.5245,True
NGC4138,10.2855,10.7155,True
NGC4157,7.1045,5.3318,True
NGC4183,3.5054,2.1529,True
NGC4214,6.9605,5.7920,True
NGC4217,43.5792,39.9608,True
NGC4389,23.5663,23.5663,True
NGC4559,3.3900,2.8621,True
NGC5005,13.0389,9.8060,True
NGC5033,17.7789,16.6880,True
NGC5055,10.1193,7.6158,True
NGC5371,13.8245,11.0394,True
NGC5585,4.0429,3.6537,True
NGC5907,11.9345,5.6181,True
NGC6015,11.0383,6.9363,True
NGC6195,9.9324,8.3883,True
NGC6503,4.5442,3.8144,True
NGC6674,16.0739,12.1053,True
NGC6789,2.2319,1.4541,True
NGC6946,7.8508,7.9621,True
NGC7331,17.6128,12.8796,True
NGC7793,5.7746,6.2583,True
NGC7814,10.9723,8.7343,True
PGC51017,4.2648,4.0118,True
UGC00128,6.3762,4.0044,True
UGC00191,4.5993,4.2758,True
UGC00634,2.0860,3.2539,True
UGC00731,3.0189,1.1130,True
UGC00891,1.3278,1.6467,True
UGC01230,9.8525,10.0168,True
UGC01281,1.4145,1.9910,True
UGC02023,3.9675,2.4658,True
UGC02259,1.7223,1.2879,True
UGC02455,17.6505,17.6505,True
UGC02885,14.8233,16.3770,True
UGC02916,24.0630,25.6566,True
UGC02953,21.9021,23.1441,True
UGC03205,12.9931,10.4755,True
UGC03546,32.0853,28.9908,True
UGC03580,17.9766,15.4556,True
UGC04278,4.3194,3.2325,True
UGC04305,4.9478,4.7857,True
UGC04325,3.9683,3.9525,True
UGC04483,0.8261,0.8554,True
UGC04499,2.6739,2.3105,True
UGC05005,2.4646,2.1604,True
UGC05253,16.5374,15.7854,True
UGC05414,0.5561,0.5418,True
UGC05716,1.4319,1.9896,True
UGC05721,4.3577,4.6130,True
UGC05750,4.4819,4.6283,True
UGC05764,3.7293,3.9417,True
UGC05829,1.3645,1.3753,True
UGC05918,1.2346,0.7369,True
UGC05986,4.1468,6.0927,True
UGC05999,6.1335,4.9244,True
UGC06399,2.0141,2.2272,True
UGC06446,2.8409,2.2601,True
UGC06614,13.7686,8.9249,True
UGC06628,4.8229,4.1189,True
UGC06667,1.9940,2.0803,True
UGC06786,10.4494,10.4645,True
UGC06787,18.6517,15.9540,True
UGC06818,6.4903,4.7776,True
UGC06917,2.8714,2.3781,True
UGC06923,4.0758,3.5431,True
UGC06930,3.9275,3.2530,True
UGC06973,42.8402,37.6558,True
UGC06983,5.1878,4.6806,True
UGC07089,1.5686,1.5041,True
UGC07125,2.8299,1.9716,True
UGC07151,2.6824,2.7766,True
UGC07232,2.4100,1.0814,True
UGC07261,2.3456,1.1091,True
UGC07323,1.6179,1.7677,True
UGC07399,1.7066,1.6274,True
UGC07524,2.5276,1.9064,True
UGC07559,1.2514,1.0389,True
UGC07577,1.2250,1.0511,True
UGC07603,1.7823,2.1211,True
UGC07608,2.4951,2.0225,True
UGC07690,2.0118,2.4556,True
UGC07866,0.7251,0.6420,True
UGC08286,2.7945,3.0347,True
UGC08490,1.3834,1.6766,True
UGC08550,1.6365,1.4410,True
UGC08699,11.8557,10.9780,True
UGC08837,2.1808,1.6818,True
UGC09037,12.2783,12.7092,True
UGC09133,17.6588,17.6919,True
UGC09992,1.2306,0.6112,True
UGC10310,2.9298,2.7410,True
UGC11455,11.9260,11.1054,True
UGC11557,8.4742,7.7827,True
UGC11820,5.6103,7.7205,True
UGC11914,9.8353,10.6985,True
UGC12632,2.6637,1.7530,True
UGC12732,1.0548,1.4853,True
UGCA281,0.5747,0.5443,True
UGCA442,1.3199,1.6823,True
UGCA444,2.1312,1.3820,True
